Period,Model,MAE,RMSE,R2,Mean Error,Std Dev Error,Theil's U
2023-06-12/2023-06-18,Model 3  - Real World GHI,38.83955913,48.20304632,0.765682675,-23.9004291,41.86052034,6.790566036
2023-06-12/2023-06-18,Model 4 - Karamov Naumov,36.06210108,49.80502151,0.749849317,-10.0336905,48.78386232,0.006145679
2023-06-12/2023-06-18,Model 5 - HDKR,61.66024761,83.84740729,0.291018823,-42.60426525,72.21678678,1.238471269
2023-06-19/2023-06-25,Model 1 - Kasten Model,64.1744839,103.9380366,-0.37907716,27.55483966,100.2189916,0.000331901
2023-06-19/2023-06-25,Model  2 - Balint et al. Model,62.36550998,100.0352764,-0.277455854,24.08358945,97.09293095,0.000347128
2023-06-19/2023-06-25,Model 3  - Real World GHI,28.64121219,38.31580685,0.812588818,-16.7514225,34.45998983,0.000320075
2023-06-19/2023-06-25,Model 4 - Karamov Naumov,43.96609446,58.8846237,0.557367441,-6.281047621,58.54867504,0.000212153
2023-06-19/2023-06-25,Model 5 - HDKR,43.67146877,59.06881803,0.554593952,-31.97749082,49.66452803,0.000202895
2023-06-26/2023-07-02,Model 1 - Kasten Model,53.30297184,75.58402541,0.034234354,-16.78049859,73.69775956,0.006548293
2023-06-26/2023-07-02,Model  2 - Balint et al. Model,53.62209304,74.96777286,0.049918338,-19.07809867,72.49960771,0.010788601
2023-06-26/2023-07-02,Model 3  - Real World GHI,33.81505657,45.46337986,0.650590141,-17.78412595,41.84069517,0.043621741
2023-06-26/2023-07-02,Model 4 - Karamov Naumov,39.48711343,57.41218213,0.442788815,-9.51649694,56.61797367,0.000178585
2023-06-26/2023-07-02,Model 5 - HDKR,43.16073414,60.35746278,0.384151812,-21.59514234,56.36198311,0.013934173
2023-07-03/2023-07-09,Model 1 - Kasten Model,53.87436471,79.23984122,0.223949487,10.76085415,78.50577338,0.014161409
2023-07-03/2023-07-09,Model  2 - Balint et al. Model,52.89034872,76.97100576,0.267753811,7.758965089,76.5789409,0.014212811
2023-07-03/2023-07-09,Model 3  - Real World GHI,38.55080242,50.86446272,0.680234416,-8.62488031,50.12788653,0.054808838
2023-07-03/2023-07-09,Model 4 - Karamov Naumov,42.02810783,64.09189684,0.492297798,4.162632351,63.95657692,0.012644135
2023-07-03/2023-07-09,Model 5 - HDKR,53.74739741,76.84524932,0.270144567,-19.28873703,74.38505877,0.036334966
2023-07-10/2023-07-16,Model 1 - Kasten Model,43.24255007,58.37615658,0.403534395,-16.24428272,56.07048186,0.008350907
2023-07-10/2023-07-16,Model  2 - Balint et al. Model,43.90708471,59.16797726,0.387243603,-18.73995666,56.12186346,0.008514025
2023-07-10/2023-07-16,Model 3  - Real World GHI,26.59464648,37.85175775,0.749223687,-7.458740328,37.10960465,0.023300294
2023-07-10/2023-07-16,Model 4 - Karamov Naumov,34.66318809,48.45127454,0.589110711,3.495069862,48.32505035,0.005843982
2023-07-10/2023-07-16,Model 5 - HDKR,37.167202,53.80469693,0.493295469,2.639897922,53.73989534,0.010317146
2023-07-17/2023-07-23,Model 1 - Kasten Model,59.10627173,82.98108386,0.029249104,-5.974828222,82.76570368,0.005229242
2023-07-17/2023-07-23,Model  2 - Balint et al. Model,58.82112842,81.94673199,0.053298922,-8.60503857,81.49368194,0.005504151
2023-07-17/2023-07-23,Model 3  - Real World GHI,39.20888805,50.43603168,0.641382555,-15.32020412,48.05293578,0.028326412
2023-07-17/2023-07-23,Model 4 - Karamov Naumov,36.18516516,50.64594547,0.638391225,-7.106714996,50.14485412,0.002370985
2023-07-17/2023-07-23,Model 5 - HDKR,43.4242722,60.06651931,0.491355296,-21.18784414,56.20553356,0.015669808
2023-07-24/2023-07-30,Model 1 - Kasten Model,45.28092501,62.60190837,0.171647468,-20.76852268,59.05647634,0.021475587
2023-07-24/2023-07-30,Model  2 - Balint et al. Model,46.03890177,62.9818117,0.161563151,-23.0748801,58.60254699,0.02345553
2023-07-24/2023-07-30,Model 3  - Real World GHI,26.36918778,34.05725593,0.754834495,-10.00467227,32.55461894,0.069645776
2023-07-24/2023-07-30,Model 4 - Karamov Naumov,31.67174639,43.76509393,0.595148466,-2.967077779,43.66440079,0.003538987
2023-07-24/2023-07-30,Model 5 - HDKR,31.93270951,42.9379574,0.610306806,-9.143434529,41.95313803,0.027749441
